Name,State,Lat,Lon,Established,Size (km2),Desc,Image
Katmai,Alaska,58.0458356,-156.5982286,12/2/1980,14870.3,"This park on the Alaska Peninsula protects the Valley of Ten Thousand Smokes, an ash flow formed by the 1912 eruption of Novarupta, as well as Mount Katmai. Over 2,000 brown bears come here to catch spawning salmon.[40]",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Katmai_Crater_1980.jpg/568px-Katmai_Crater_1980.jpg
Kenai Fjords,Alaska,60.1696088,-149.2361887,12/2/1980,2711.3,"Near Seward on the Kenai Peninsula, this park protects the Harding Icefield and at least 38 glaciers and fjords stemming from it. The only area accessible to the public by road is Exit Glacier, while the rest can only be viewed by boat tours.[41]",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Kenai_Fjords_coast.jpg/568px-Kenai_Fjords_coast.jpg
Kings Canyon,California,36.7472811,-119.0925356,3/4/1940,1869.2,"Home to several Giant sequoia groves and the General Grant Tree, the world's second largest, this park also has part of the Kings River, site of the granite Kings Canyon, and San Joaquin River, as well as the Boyden Cave.[42]",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/KingsCanyonNP.JPG/568px-KingsCanyonNP.JPG
Kobuk Valley,Alaska,67.2872981,-160.0342625,12/2/1980,7084.9,"Kobuk Valley has 61 miles (98 km) of the Kobuk River and three regions of sand dunes. Created by glaciers, the Great Kobuk, the Little Kobuk, and the Hunt River Sand Dunes can reach 100 feet (30 m) high and 100 °F (38 °C), and they are the largest dunes in the arctic. Twice a year, half a million caribou migrate through the dunes and across river bluffs that contain ice age fossils.[43]",https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Kobuk_Bendlova_235.jpg/568px-Kobuk_Bendlova_235.jpg
Lake Clark,Alaska,60.59772,-152.7408824,12/2/1980,10601.7,"The region around Lake Clark has four active volcanoes, including Mount Redoubt, rivers, glaciers, and waterfalls. There are temperate rainforests, a tundra plateau, and three mountain ranges.[44]",https://upload.wikimedia.org/wikipedia/commons/a/ac/Lake_Clark_National_Park.jpg
Lassen Volcanic,California,40.5328759,-121.8412133,8/9/1916,430.5,"Lassen Peak, the largest plug dome volcano in the world, is joined by all three other types of volcanoes in this park: shield, cinder dome, and composite. Other than the volcano, which last erupted in 1915, the park has hydrothermal areas, including fumaroles, boiling pools, and steaming ground, heated by molten rock under the peak.[45]",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Lassen_Peak_and_Lake_Helen.jpg/568px-Lassen_Peak_and_Lake_Helen.jpg
Mammoth Cave,Kentucky,37.2135982,-86.1548269,7/1/1941,213.8,"With 392 miles (631 km) of passageways mapped, Mammoth Cave is by far the world's longest cave system. Cave animals include eight bat species, Kentucky cave shrimp, Northern cavefish, and cave salamanders. Above ground, the park contains Green River (Kentucky), 70 miles of hiking trails, sinkholes, and springs.[46]",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Lwt02830.jpg/568px-Lwt02830.jpg
Mesa Verde,Colorado,37.1828071,-108.4922277,6/29/1906,210.9,"This area has over 4,000 archaeological sites of the Ancestral Pueblo, who lived here for 700 years. Cliff dwellings built in the 12th and 13th centuries include Cliff Palace, which has 150 rooms and 23 kivas, and the Balcony House, with passages and tunnels.[47]",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Mesa_verde_north_2007.jpg/568px-Mesa_verde_north_2007.jpg
Mount Rainier,Washington,46.8667428,-121.8040452,3/2/1899,953.5,"Mount Rainier, an active volcano, is the most prominent peak in the Cascades, and it is covered by 26 named glaciers including Carbon Glacier and Emmons Glacier, the largest in the continental United States. The mountain is popular for climbing, and more than half of the park is covered by subalpine and alpine forests. Paradise on the south slope is one of the snowiest places in the world, and the Longmire visitor center is the start of the Wonderland Trail, which encircles the mountain.[48]",https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Mount_Rainier_from_west.jpg/544px-Mount_Rainier_from_west.jpg
North Cascades,Washington,48.7147254,-121.1533781,10/2/1968,2042.8,"This complex includes the two units of the National Park and the Ross Lake and Lake Chelan National Recreation Areas. There are numerous glaciers, and popular hiking and climbing areas are Cascade Pass, Mount Shuksan, Mount Triumph, and Eldorado Peak.[49]",https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Mount_Shuksan_tarn.jpg/544px-Mount_Shuksan_tarn.jpg
Olympic,Washington,47.9707283,-123.5035728,6/29/1938,3733.8,"Situated on the Olympic Peninsula, this park ranges from Pacific shoreline with tide pools to temperate rainforests to Mount Olympus. The glaciated Olympic Mountains overlook the Hoh Rain Forest and Quinault Rain Forest, the wettest area of the continental United States.[50]",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Cedar_Creek_Abbey_Island_Ruby_Beach.jpg/568px-Cedar_Creek_Abbey_Island_Ruby_Beach.jpg
Petrified Forest,Arizona,35.0199151,-109.7829791,12/9/1962,378.5,"This portion of the Chinle Formation has a great concentration of 225-million-year-old petrified wood. The surrounding region, the Painted Desert, has eroded red-hued volcanic rock called bentonite. There are also dinosaur fossils and over 350 Native American sites.[51]",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/The_PEFO_Tepees.jpg/600px-The_PEFO_Tepees.jpg
Pinnacles,California,36.4808829,-121.1593104,1/10/2013,107.7,"Known for the namesake eroded leftovers of half of an extinct volcano, it is popular for its rock climbing.[52]",https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Rock_formations_at_Pinnacles_National_Park.jpg/560px-Rock_formations_at_Pinnacles_National_Park.jpg
Redwood,California,41.3678119,-124.0296856,10/2/1968,455.3,"This park and the co-managed state parks protect almost half of all remaining Coastal Redwoods, the tallest trees on Earth. There are three large river systems in this very seismically active area, and the 37 miles (60 km) of protected coastline have tide pools and seastacks. The prairie, estuary, coast, river, and forest ecosystems have varied animal and plant species.[53]",https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Redwood_National_Park%2C_fog_in_the_forest.jpg/568px-Redwood_National_Park%2C_fog_in_the_forest.jpg
Rocky Mountain,Colorado,40.400054,-105.57937,1/26/1915,1075.8,"This section of the Rocky Mountains has ecosystems varying in elevation from the over 150 riparian lakes to Montane and subalpine forests to the alpine tundra. Large wildlife including mule deer, bighorn sheep, black bears, and cougars inhabit these igneous mountains and glacier valleys. The fourteener Longs Peak and Bear Lake are popular destinations.[54]",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Rocky_Mountain_National_Park_in_September_2011_-_Glacier_Gorge_from_Bear_Lake.JPG/568px-Rocky_Mountain_National_Park_in_September_2011_-_Glacier_Gorge_from_Bear_Lake.JPG
Saguaro,Arizona,32.0149212,-110.6645683,10/14/1994,370,"Split into the separate Rincon Mountain and Tucson Mountain Districts, the dry Sonoran Desert is still home to much life in six biotic communities. Beyond the namesake Giant Saguaro cacti, there are barrel cacti, cholla cacti, and prickly pears, as well as Lesser Long-nosed Bats, Spotted Owls, and javelinas.[55]",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Saguaro_Sunset.jpg/600px-Saguaro_Sunset.jpg
Sequoia,California,36.4495198,-118.7198004,9/25/1890,1635.1,"This park protects the Giant Forest, which has the world's largest tree, General Sherman, as well as four of the next nine. It also has over 240 caves, the tallest mountain in the continental U.S., Mount Whitney, and the granite dome Moro Rock.[56]",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/General_Sherman_tree_looking_up.jpg/448px-General_Sherman_tree_looking_up.jpg
Shenandoah,Virginia,38.5314894,-78.3522476,5/22/1926,805.5,Shenandoah's Blue Ridge Mountains are covered by hardwood forests that are home to tens of thousands of animals. The Skyline Drive and Appalachian Trail run the entire length of this narrow park that has more than 500 miles (800 km) of hiking trails along scenic overlooks and waterfalls of the Shenandoah River.[57],https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Skyline_Drive_in_the_Fall_%2821852619608%29.jpg/568px-Skyline_Drive_in_the_Fall_%2821852619608%29.jpg
Theodore Roosevelt,North Dakota,46.8747588,-103.2519011,11/10/1978,285.1,"This region that enticed and influenced President Theodore Roosevelt is now a park of three units in the badlands. Besides Roosevelt's historic cabin, there are scenic drives and backcountry hiking opportunities. Wildlife includes American Bison, pronghorns, Bighorn sheep, and wild horses.[58]",https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/View_of_Theodore_Roosevelt_National_Park.jpg/568px-View_of_Theodore_Roosevelt_National_Park.jpg
Virgin Islands,United States Virgin Islands,18.3368114,-64.7280952,8/2/1956,59.4,"The island of Saint John has rich human and natural history. There are Taino archaeological sites and ruins of sugar plantations from Columbus's time. Past the pristine beaches are mangroves, seagrass beds, coral reefs and algal plains.[59]",https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/St_John_Trunk_Bay_3.jpg/568px-St_John_Trunk_Bay_3.jpg
Voyageurs,Minnesota,48.5494209,-93.3763619,1/8/1971,883,"This park on four main lakes, a site for canoeing, kayaking, and fishing, has a history of Ojibwe Native Americans, French fur traders called voyageurs, and a gold rush. Formed by glaciers, this region has tall bluffs, rock gardens, islands and bays, and historic buildings.[60]",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Voyageurs_National_Park.jpg/568px-Voyageurs_National_Park.jpg
Wind Cave,South Dakota,43.3759472,-103.4511768,1/9/1903,114.5,"Wind Cave is distinctive for its calcite fin formations called boxwork and needle-like growths called frostwork. The cave, which was discovered by the sound of wind coming from a hole in the ground, is the world's densest cave system. Above ground is a mixed-grass prairie with animals such as bison, black-footed ferrets, and prairie dogs,[61] and Ponderosa pine forests home to cougars and elk.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Cave_Boxwork_often_call_cratework_when_this_large._WInd_Cave.JPG/568px-Cave_Boxwork_often_call_cratework_when_this_large._WInd_Cave.JPG
Wrangell –St. Elias,Alaska,61.3314317,-142.939826,12/2/1980,33682.6,"This mountainous land has the convergence of the Alaska, Chugach, and Wrangell-Saint Elias Ranges, which have many of the continent's tallest mountains over 16,000 feet (4,900 m), including Mount Saint Elias. More than 25% of this park of volcanic peaks is covered with glaciers, including the tidewater Hubbard Glacier, piedmont Malaspina Glacier, and valley Nabesna Glacier.[62]",https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Mt_Saint_Elias.jpg/568px-Mt_Saint_Elias.jpg
Yellowstone,"Wyoming, Montana, Idaho",44.4620852,-110.6424411,3/1/1872,8983.2,"Situated on the Yellowstone Caldera, the first national park in the world has vast geothermal areas such as hot springs and geysers, the best-known being Old Faithful and Grand Prismatic Spring. The yellow-hued Grand Canyon of the Yellowstone River has numerous waterfalls, and four mountain ranges run through the park. There are almost 60 mammal species, including the gray wolf, grizzly bear, lynx, bison, and elk.[63]",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/YellowstonefallJUN05.JPG/500px-YellowstonefallJUN05.JPG
Yosemite,California,37.8276596,-119.5053357,10/1/1890,3080.7,"Yosemite has towering cliffs, waterfalls, and sequoias in a diverse area of geology and hydrology. Half Dome and El Capitan rise from the central glacier-formed Yosemite Valley, as does Yosemite Falls, North America's tallest waterfall. Three Giant Sequoia groves and vast wilderness are home to diverse wildlife.[64]",https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Tunnel_View%2C_Yosemite_Valley%2C_Yosemite_NP_-_Diliff.jpg/568px-Tunnel_View%2C_Yosemite_Valley%2C_Yosemite_NP_-_Diliff.jpg
Zion,Utah,37.088313,-113.2394452,11/19/1919,593.3,"This geologically unique area has colorful sandstone canyons, high plateaus, and rock towers. Natural arches and exposed formations of the Colorado Plateau make up a large wilderness of four ecosystems.[65]",https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Zion_angels_landing_view.jpg/568px-Zion_angels_landing_view.jpg
